;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Indicadores de atendimento e aprendizagem VAAR para o Fundeb 2026;;;;;;
;;;;;;
UF;Ente Federado;"Código
IBGE";"Evoluiu
Atendiment";"Indicador
Atendimento";"Evoluiu
Aprendizagem";"Indicador
Aprendizagem"
RS;ITAPUCA;4310579;Sim;1,00;Não;0,00
RS;ITAQUI;4310603;Sim;0,988648;Não;0,778954
RS;ITATI;4310652;Sim;0,995984;Sim;2,18
RS;ITATIBA DO SUL;4310702;Sim;0,981982;Sim;1,530524
RS;IVORA;4310751;Sim;1,00;Não;0,00
RS;IVOTI;4310801;Sim;0,996931;Não;2,26
RS;JABOTICABA;4310850;Sim;0,995238;Não;1,472921
RS;JACUIZINHO;4310876;Sim;0,987474;Sim;1,44004
RS;JACUTINGA;4310900;Sim;0,997959;Sim;4,40
RS;JAGUARAO;4311007;Sim;0,973896;Não;0,750726
RS;JAGUARI;4311106;Sim;0,999296;Sim;2,04
RS;JAQUIRANA;4311122;Sim;0,996552;Não;0,51975
RS;JARI;4311130;Sim;0,995313;Sim;5,07
RS;JOIA;4311155;Sim;0,997076;Sim;1,494627
RS;JULIO DE CASTILHOS;4311205;Sim;0,993256;Sim;1,225439
RS;LAGOA BONITA DO SUL;4311239;Sim;0,994898;Sim;2,57
RS;LAGOA DOS TRES CANTOS;4311270;Sim;0,996689;Não;0,00
RS;LAGOA VERMELHA;4311304;Sim;0,989255;Sim;2,05
RS;LAGOAO;4311254;Sim;0,99535;Sim;0,58757
RS;LAJEADO;4311403;Sim;0,990482;Não;1,995268
RS;LAJEADO DO BUGRE;4311429;Sim;0,992424;Não;0,00
RS;LAVRAS DO SUL;4311502;Sim;0,976524;Não;1,013839
RS;LIBERATO SALZANO;4311601;Sim;0,998016;Não;1,053943
RS;LINDOLFO COLLOR;4311627;Sim;0,992944;Não;1,317666
RS;LINHA NOVA;4311643;Não;0,9375;Não;0,00
RS;MACAMBARA;4311718;Não;0,735622;Sim;1,219115
RS;MACHADINHO;4311700;Sim;0,993721;Não;0,993085
RS;MAMPITUBA;4311734;Sim;0,990028;Sim;1,76015
RS;MANOEL VIANA;4311759;Sim;0,983435;Sim;1,183041
RS;MAQUINE;4311775;Sim;0,987721;Não;0,00
RS;MARATA;4311791;Sim;0,988152;Não;0,00
RS;MARAU;4311809;Sim;0,987294;Não;1,412312
RS;MARCELINO RAMOS;4311908;Não;0,976062;Não;1,189119
RS;MARIANA PIMENTEL;4311981;Sim;0,986657;Sim;1,69004
RS;MARIANO MORO;4312005;Sim;0,987603;Não;0,00
RS;MARQUES DE SOUZA;4312054;Sim;0,997085;Não;2,37
RS;MATA;4312104;Sim;0,997085;Não;1,074913
RS;MATO CASTELHANO;4312138;Não;0,976531;Não;0,00
RS;MATO LEITAO;4312153;Sim;0,99547;Sim;2,71
RS;MATO QUEIMADO;4312179;Sim;1,00;Não;1,769958
RS;MAXIMILIANO DE ALMEIDA;4312203;Sim;0,997942;Sim;0,532256
RS;MINAS DO LEAO;4312252;Sim;0,993557;Não;1,440425
RS;MIRAGUAI;4312302;Sim;0,998004;Não;1,42066
RS;MONTAURI;4312351;Sim;1,00;Não;0,00
RS;MONTE ALEGRE DOS CAMPOS;4312377;Sim;0,989984;Sim;1,445674
RS;MONTE BELO DO SUL;4312385;Sim;0,994424;Sim;2,92
RS;MONTENEGRO;4312401;Sim;0,992392;Sim;1,456463
RS;MORMACO;4312427;Sim;0,995763;Não;1,843886
RS;MORRINHOS DO SUL;4312443;Não;0,979554;Não;0,00
RS;MORRO REDONDO;4312450;Sim;0,989888;Sim;2,62
RS;MORRO REUTER;4312476;Sim;0,998004;Sim;1,869696
RS;MOSTARDAS;4312500;Sim;0,993791;Sim;1,543288
RS;MUCUM;4312609;Não;0,87037;Não;1,930435
RS;MUITOS CAPOES;4312617;Sim;1,00;Sim;2,52
RS;MULITERNO;4312625;Sim;1,00;Não;0,00
RS;NAO-ME-TOQUE;4312658;Sim;0,989968;Não;1,408129
RS;NICOLAU VERGUEIRO;4312674;Sim;1,00;Não;0,00
RS;NONOAI;4312708;Sim;0,988764;Não;1,068256
RS;NOVA ALVORADA;4312757;Sim;0,995798;Não;0,00
RS;NOVA ARACA;4312807;Sim;1,00;Não;1,152466
RS;NOVA BASSANO;4312906;Sim;0,99483;Não;1,730741
RS;NOVA BOA VISTA;4312955;Sim;0,996212;Sim;4,31
RS;NOVA BRESCIA;4313003;Sim;0,988987;Não;4,23
RS;NOVA CANDELARIA;4313011;Sim;0,989955;Sim;4,11
RS;NOVA ESPERANCA DO SUL;4313037;Sim;0,995392;Sim;1,567115
RS;NOVA HARTZ;4313060;Sim;0,995859;Não;1,998994
RS;NOVA PADUA;4313086;Sim;0,990217;Não;0,00
RS;NOVA PALMA;4313102;Não;0,985075;Sim;1,172733
RS;NOVA PETROPOLIS;4313201;Não;0,990645;Não;2,43
RS;NOVA PRATA;4313300;Sim;0,995558;Não;1,919191
RS;NOVA RAMADA;4313334;Sim;0,996364;Não;1,773039
RS;NOVA ROMA DO SUL;4313359;Sim;0,989609;Sim;5,86
RS;NOVA SANTA RITA;4313375;Sim;0,985031;Sim;1,956031
RS;NOVO BARREIRO;4313490;Sim;0,998724;Sim;1,749511
RS;NOVO CABRAIS;4313391;Sim;0,991247;Não;1,248486
RS;NOVO HAMBURGO;4313409;Não;0,991671;Não;1,978069
RS;NOVO MACHADO;4313425;Não;0,956471;Não;0,00
