Anexo VI;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;
Redes de Ensino Beneficiadas e Valores Distribuídos - Complementação da União-VAAR Ano de 2026 (art. 16, inciso VIII, da Lei nº 14.113/2020);;;;
;;;;
UF;Ente Federado;Código IBGE;" Coeficientes de distribuição da complementação
da União-VAAR "; Complementação da União-VAAR (R$) 
RS;TRAVESSEIRO;4321626;0,000011061590;83.250,83
RS;TRES CACHOEIRAS;4321667;0,000125119437;941.663,65
RS;TRES FORQUILHAS;4321832;0,000026413790;198.793,30
RS;TRES PASSOS;4321907;0,000324807943;2.444.542,91
RS;TRIUNFO;4322004;0,000390213079;2.936.789,68
RS;TUCUNDUVA;4322103;0,000015223970;114.577,39
RS;TUPANCI DO SUL;4322186;0,000019013894;143.100,81
RS;TUPARENDI;4322301;0,000032613415;245.452,41
RS;TURUCU;4322327;0,000044861260;337.631,14
RS;UBIRETAMA;4322343;0,000005278936;39.729,9
RS;VALE VERDE;4322525;0,000033515014;252.237,95
RS;VANINI;4322558;0,000009543259;71.823,69
RS;VENANCIO AIRES;4322608;0,000535225742;4.028.172,10
RS;VERA CRUZ;4322707;0,000265266181;1.996.424,58
RS;VIADUTOS;4322905;0,000043415148;326.747,52
RS;VICENTE DUTRA;4323101;0,000056922099;428.402,43
RS;VICTOR GRAEFF;4323200;0,000017680239;133.063,56
RS;VILA FLORES;4323309;0,000050675417;381.389,16
RS;VILA LANGARO;4323358;0,000014410069;108.451,87
RS;VILA NOVA DO SUL;4323457;0,000039976197;300.865,57
RS;VISTA ALEGRE;4323507;0,000012890395;97.014,63
RS;VISTA ALEGRE DO PRATA;4323606;0,000013902307;104.630,40
RS;VISTA GAUCHA;4323705;0,000037969705;285.764,48
RS;VITORIA DAS MISSOES;4323754;0,000012911398;97.172,70
RS;WESTFALIA;4323770;0,00002474795;186.255,95
